ID,Name,Age,Salary
1,Barbara_Iqbal_1,63,191038.67
2,Sana_Ahmed_2,46,128083.21
3,Robert_Johnson_3,20,220558.75
4,David_Malik_4,24,173195.46
5,James_Johnson_5,64,213137.38
6,Omar_Jones_6,18,248286.54
7,Jennifer_Malik_7,32,145446.42
8,James_Rodriguez_8,19,145450.43
9,Charles_Davis_9,24,94271.82
10,Mariam_Davis_10,29,49933.42
11,Sana_Malik_11,27,143131.58
12,Mariam_Ahmed_12,40,219186.89
13,Charles_Raza_13,26,44311.35
14,James_Qureshi_14,63,153923.41
15,Hamza_Davis_15,32,51487.87
16,Michael_Raza_16,29,180317.98
17,Patricia_Malik_17,41,37565.48
18,Jennifer_Qureshi_18,36,70091.94
19,Karen_Iqbal_19,32,144414.96
20,Michael_Khan_20,45,36888.92
21,Mariam_Butt_21,55,236689.77
22,Barbara_Sheikh_22,62,189999.84
23,Zainab_Miller_23,22,73116.23
24,Jessica_Smith_24,64,215797.45
25,Barbara_Chaudhry_25,31,212322.25
26,Sarah_Davis_26,64,163547.53
27,Thomas_Garcia_27,24,206483.34
28,Robert_Johnson_28,18,123148.32
29,Sana_Davis_29,27,31214.87
30,James_Butt_30,27,186495.23
31,Ayesha_Iqbal_31,55,46289.82
32,Zainab_Davis_32,49,231291.13
33,Fatima_Sheikh_33,47,102797.57
34,John_Johnson_34,35,177145.08
35,Elizabeth_Raza_35,53,170262.64
36,William_Sheikh_36,44,114243.91
37,Patricia_Hussain_37,52,197372.71
38,Ayesha_Ahmed_38,29,86335.03
39,Joseph_Smith_39,43,124059.02
40,Patricia_Smith_40,39,74378.23
41,James_Sheikh_41,48,99158.32
42,Thomas_Khan_42,51,60652.92
43,Linda_Malik_43,37,196221.25
44,Michael_Jones_44,63,161750.40
45,William_Raza_45,25,234533.48
46,Charles_Butt_46,32,53208.74
47,Usman_Martinez_47,56,71045.41
48,Richard_Sheikh_48,60,101355.90
49,Hamza_Williams_49,61,99960.76
50,Zainab_Williams_50,31,172491.83
51,Richard_Smith_51,57,219360.73
52,Elizabeth_Smith_52,25,147499.67
53,Richard_Martinez_53,28,56370.38
54,William_Miller_54,29,67024.03
55,Elizabeth_Jones_55,42,184664.17
56,Richard_Davis_56,21,85861.39
57,Omar_Jones_57,30,139394.67
58,Ayesha_Miller_58,25,249502.91
59,Mary_Garcia_59,47,140589.38
60,Richard_Johnson_60,19,105915.67
61,Zainab_Malik_61,29,61876.87
62,Jessica_Martinez_62,39,151636.48
63,Linda_Ahmed_63,50,197556.32
64,Barbara_Jones_64,29,206690.75
65,Barbara_Martinez_65,48,169376.54
66,Barbara_Khan_66,57,205635.93
67,Fatima_Brown_67,33,71034.07
68,Ali_Smith_68,59,101710.96
69,Ali_Jones_69,18,142660.47
70,Hamza_Jones_70,34,51158.84
71,Jennifer_Qureshi_71,51,115081.78
72,Jessica_Qureshi_72,58,178651.83
73,David_Chaudhry_73,23,233432.60
74,Thomas_Sheikh_74,51,80281.00
75,Karen_Brown_75,57,152144.18
76,Jessica_Khan_76,30,249175.81
77,John_Hussain_77,61,228091.97
78,Usman_Malik_78,27,91351.70
79,David_Chaudhry_79,52,227364.26
80,Fatima_Sheikh_80,37,225309.42
81,Karen_Sheikh_81,22,65558.32
82,Sana_Sheikh_82,50,157751.06
83,James_Davis_83,22,175970.39
84,Mariam_Smith_84,31,97180.05
85,Thomas_Martinez_85,51,173431.48
86,Mariam_Jones_86,26,33976.58
87,Linda_Martinez_87,33,194228.11
88,David_Malik_88,53,188606.78
89,Karen_Miller_89,45,50608.45
90,Jessica_Davis_90,48,85101.60
91,Linda_Ahmed_91,64,116481.50
92,Joseph_Sheikh_92,61,125566.76
93,Sana_Davis_93,42,156918.85
94,Ali_Martinez_94,59,80640.76
95,Ayesha_Martinez_95,31,35349.51
96,Sana_Malik_96,20,248801.11
97,Omar_Martinez_97,63,231270.17
98,Usman_Davis_98,53,239675.81
99,Zainab_Miller_99,38,242664.06
100,Sarah_Hussain_100,65,46576.18
101,William_Miller_101,36,217250.07
102,William_Miller_102,41,111991.11
103,Thomas_Davis_103,62,183126.56
104,Zainab_Ahmed_104,21,75962.12
105,Charles_Raza_105,65,60818.48
106,Linda_Khan_106,32,100961.17
107,Bilal_Butt_107,51,184546.50
108,Ayesha_Davis_108,44,95232.23
109,Hamza_Rodriguez_109,56,220755.91
110,Charles_Qureshi_110,21,31140.67
111,Jessica_Malik_111,56,172992.06
112,John_Chaudhry_112,37,41169.08
113,Usman_Sheikh_113,34,112628.25
114,Sarah_Johnson_114,39,177845.75
115,Mary_Miller_115,40,149381.82
116,Mariam_Garcia_116,58,219289.02
117,James_Garcia_117,19,210972.12
118,Elizabeth_Davis_118,43,101863.27
119,Jessica_Butt_119,54,77480.63
120,Omar_Malik_120,39,215245.08
121,Mary_Brown_121,43,148939.73
122,Ali_Malik_122,24,59203.99
123,Mariam_Hussain_123,42,101050.43
124,Mary_Iqbal_124,37,125374.56
125,Susan_Chaudhry_125,21,35577.16
126,Jennifer_Hussain_126,21,124229.18
127,Ali_Raza_127,37,68124.75
128,Zainab_Brown_128,39,82753.22
129,Thomas_Johnson_129,52,175243.42
130,Omar_Garcia_130,48,143673.18
131,Bilal_Raza_131,44,164578.56
132,Ayesha_Rodriguez_132,20,154528.19
133,David_Brown_133,54,33166.57
134,David_Williams_134,22,50714.54
135,Mary_Miller_135,59,184804.73
136,Jennifer_Martinez_136,18,197940.17
137,Joseph_Butt_137,40,68104.41
138,Susan_Rodriguez_138,49,40572.96
139,Charles_Qureshi_139,48,39966.88
140,Linda_Davis_140,18,235355.99
141,Jessica_Khan_141,59,174912.60
142,Ali_Brown_142,47,237656.15
143,Karen_Qureshi_143,19,158870.63
144,Karen_Qureshi_144,56,178977.04
145,Barbara_Ahmed_145,48,130815.63
146,Hamza_Khan_146,57,167706.73
147,Barbara_Butt_147,64,229177.14
148,Michael_Brown_148,31,77209.61
149,Patricia_Davis_149,18,50777.45
150,Charles_Raza_150,34,174258.98
151,Elizabeth_Davis_151,58,35119.83
152,David_Butt_152,30,139128.24
153,Patricia_Raza_153,51,168367.43
154,Omar_Sheikh_154,19,121948.13
155,Hamza_Hussain_155,31,69036.70
156,Richard_Iqbal_156,45,156703.41
157,Mariam_Chaudhry_157,37,111843.98
158,Linda_Iqbal_158,45,220765.65
159,Zainab_Ahmed_159,59,124378.69
160,Ali_Iqbal_160,53,82411.95
161,Patricia_Davis_161,61,141155.52
162,Joseph_Butt_162,36,95479.74
163,Usman_Johnson_163,36,32384.28
164,Omar_Qureshi_164,58,108079.14
165,Elizabeth_Hussain_165,63,239133.57
166,Joseph_Ahmed_166,41,48322.57
167,Susan_Johnson_167,32,102306.20
168,Thomas_Raza_168,28,238162.80
169,Sana_Iqbal_169,55,50065.34
170,Zainab_Martinez_170,64,249104.87
171,Thomas_Johnson_171,39,225294.92
172,Thomas_Davis_172,51,243103.43
173,Robert_Raza_173,54,166007.97
174,Usman_Williams_174,58,123740.12
175,Ayesha_Jones_175,21,210809.21
176,Usman_Chaudhry_176,25,142931.76
177,John_Jones_177,65,112339.57
178,Fatima_Davis_178,60,82070.74
179,Omar_Qureshi_179,65,195743.20
180,David_Davis_180,51,135966.74
181,Sana_Davis_181,44,123328.84
182,Linda_Qureshi_182,33,125579.41
183,Joseph_Garcia_183,18,133105.34
184,Sarah_Johnson_184,53,198782.87
185,Patricia_Butt_185,49,194129.87
186,Ali_Ahmed_186,29,118049.04
187,Barbara_Martinez_187,31,221091.81
